,Match ID,Player ID,Rank,Rank Gain,Team,K,D,A,+/-,K/D,ADR,HS%,KAST,Rating,EF,FA,EBT,UD,FKD,FK,FD,FK as T,FD as T,FK as CT,FD as CT,Trade K,Trade D,Trade FK,Trade FD,Trade FK as T,Trade FD as T,Trade FK as CT,Trade FD as CT,1vX,1v5,1v4,1v3,1v2,1v1,3K+,5K,4K,3K,2K,1K
0,79000019,7656119804382024,8,1,1,9,2,1,7,4.50,61.8,22%,100%,1.76,0,0,0s,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,2
1,79000019,7656119798811235,10,0,1,10,4,3,6,2.50,113,60%,88.9%,1.84,5,1,19.3s,55,1,1,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4
2,79000019,7656119887789535,11,1,1,12,7,4,5,1.70,155.6,58%,100%,2.08,3,0,15.1s,22,2,3,1,3,1,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,3
3,79000019,7656119811792598,9,0,1,6,4,1,2,1.50,74.2,50%,66.7%,1.14,0,0,0s,80,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
4,79000019,7656119814446810,9,0,1,6,8,2,-2,0.80,72.3,17%,66.7%,0.91,2,0,3s,0,1,2,1,2,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
5,79000019,7656119818472565,9,0,2,8,9,0,-1,0.90,86.1,25%,55.6%,0.98,0,0,0s,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
6,79000019,7656119822903624,10,0,2,6,9,2,-3,0.70,74.7,50%,55.6%,0.78,4,0,4.4s,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
7,79000019,7656119816333012,9,0,2,4,9,0,-5,0.40,75.7,0%,33.3%,0.40,4,0,11.5s,26,0,0,0,0,0,0,0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2
8,79000019,7656119821197552,8,0,2,3,9,1,-6,0.30,51.6,33%,55.6%,0.40,2,1,6.2s,0,-2,2,4,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9,79000019,7656119897496713,8,0,2,2,9,1,-7,0.20,41.8,50%,55.6%,0.28,0,0,0s,0,-3,0,3,0,0,0,3,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
0,79000017,7656119882455042,8,0,✪,13,18,2,-5,0.70,78.8,31%,63.2%,0.88,13,0,25.1s,0,0,3,3,2,3,1,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,1,5
1,79000017,7656119820930677,8,0,✪,11,17,3,-6,0.60,70.6,45%,52.6%,0.72,13,1,35.7s,11,0,2,2,2,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5
2,79000017,7656119835808550,8,0,✪,8,19,4,-11,0.40,51.6,50%,57.9%,0.51,4,0,16.2s,92,-2,0,2,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
3,79000017,7656119804849501,8,0,✪,5,17,3,-12,0.30,38.2,0%,47.4%,0.30,2,0,4.2s,0,-5,0,5,0,4,0,1,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
4,79000017,7656119904027984,7,0,✪,5,17,0,-12,0.30,50.4,20%,31.6%,0.21,2,0,5s,1,-2,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
5,79000017,7656119815446156,9,0,2,21,7,4,14,3.00,102.2,10%,89.5%,1.83,5,0,9.8s,13,1,2,1,1,1,1,0,4,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,4,6
6,79000017,7656119916013890,8,0,2,19,8,3,11,2.40,109.1,37%,84.2%,1.69,10,0,16.7s,241,3,3,0,1,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,1,4
7,79000017,7656119813041826,9,0,2,19,6,2,13,3.20,99.2,63%,84.2%,1.71,26,0,70.7s,159,0,1,1,0,0,1,1,3,0,1,0,0,0,1,0,1,0,0,1,0,0,2,0,1,1,3,6
8,79000017,7656119897308724,9,0,2,17,12,2,5,1.40,82.7,29%,89.5%,1.44,12,0,28.2s,14,1,2,1,0,0,2,1,3,8,1,1,1,0,0,1,0,0,0,0,0,0,2,0,1,1,1,8
9,79000017,7656119825392042,9,0,2,12,9,4,3,1.30,71.9,42%,78.9%,1.19,21,0,73s,170,4,6,2,1,0,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
0,79000016,7656119893827775,10,0,1,31,20,3,11,1.60,96.7,61%,73.3%,1.46,21,0,57.9s,17,1,4,3,2,1,2,2,5,2,0,0,0,0,0,0,2,0,0,0,2,0,2,0,1,1,7,10
1,79000016,7656119844491076,11,0,1,35,26,7,9,1.30,123.6,23%,86.7%,1.67,22,2,73.5s,30,4,6,2,3,2,3,0,6,3,2,0,1,0,1,0,1,0,0,0,1,0,3,0,0,3,6,14
2,79000016,7656119820264062,11,1,1,20,22,8,-2,0.90,68.4,35%,70%,1.01,14,0,38.4s,185,-3,2,5,1,3,1,2,5,5,0,1,0,0,0,1,2,0,0,0,0,2,2,0,0,2,3,8
3,79000016,7656119828063427,10,0,1,21,25,6,-4,0.80,73.7,33%,70%,1.00,4,0,6.2s,63,-1,1,2,1,1,0,1,1,7,0,1,0,1,0,0,1,0,0,0,0,1,2,0,0,2,4,7
4,79000016,7656119894551861,12,0,1,13,22,6,-9,0.60,63,54%,56.7%,0.69,9,1,13.9s,160,-1,2,3,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,6
5,79000016,7656119910336750,11,0,2,35,24,2,11,1.50,117.3,34%,76.7%,1.59,1,0,0.9s,0,4,6,2,2,1,4,1,2,4,0,0,0,0,0,0,1,1,0,0,0,0,3,2,0,1,5,12
6,79000016,7656119804661444,11,0,2,24,26,1,-2,0.90,80.5,33%,53.3%,0.95,5,0,19.8s,24,-2,2,4,1,2,1,2,6,2,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,1,7,7
7,79000016,7656119816226492,11,0,2,23,22,4,1,1.00,94.5,35%,73.3%,1.19,6,0,12.5s,17,3,4,1,2,0,2,1,6,3,1,0,0,0,1,0,2,0,0,0,0,2,1,0,0,1,3,14
8,79000016,7656119802919237,11,0,2,20,23,6,-3,0.90,76.1,15%,66.7%,0.99,0,0,0s,15,0,2,2,2,2,0,0,4,5,0,1,0,1,0,0,2,0,0,0,1,1,2,0,1,1,1,11
9,79000016,7656119807403408,10,0,2,12,25,4,-13,0.50,52,33%,66.7%,0.64,4,0,7.5s,33,-5,1,6,0,3,1,3,2,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10
0,79000015,7656119844491076,11,0,1,26,13,3,13,2.00,108.2,42%,85%,1.83,26,0,56.8s,26,-1,0,1,0,1,0,0,4,2,1,0,1,0,0,0,2,0,0,0,1,1,3,0,2,1,3,9
1,79000015,7656119820264062,11,0,1,22,12,7,10,1.80,114.8,41%,80%,1.69,11,0,27.9s,92,3,3,0,2,0,1,0,2,2,1,0,1,0,0,0,1,0,0,1,0,0,2,1,0,1,5,4
2,79000015,7656119825342090,12,0,1,18,10,3,8,1.80,87.7,28%,95%,1.57,3,1,12.3s,63,-1,1,2,0,2,1,0,4,2,2,0,2,0,0,0,1,0,0,0,0,1,2,0,0,2,2,8
3,79000015,7656119912307641,10,0,1,14,13,6,1,1.10,87.8,21%,85%,1.26,1,0,3s,73,-1,4,5,2,4,2,1,2,5,0,3,0,3,0,0,0,0,0,0,0,0,1,0,1,0,2,6
4,79000015,7656119894551861,12,0,1,10,13,4,-3,0.80,64.4,80%,80%,0.97,15,2,20.8s,123,-2,1,3,1,3,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,5
5,79000015,7656119832894925,12,0,2,18,20,3,-2,0.90,110.2,17%,55%,1.08,5,0,15.6s,0,1,5,4,1,0,4,4,5,3,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,3,5
6,79000015,7656119880028841,12,0,2,14,17,1,-3,0.80,55.1,29%,65%,0.88,5,1,12.6s,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
7,79000015,7656119883458476,9,0,2,11,16,3,-5,0.70,65.1,55%,60%,0.78,14,0,32.6s,0,1,2,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
8,79000015,7656119844206884,12,0,2,11,19,1,-8,0.60,60.9,55%,55%,0.64,3,0,7.6s,68,3,3,0,0,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,4
9,79000015,7656119900509686,12,0,2,7,18,3,-11,0.40,55.1,57%,50%,0.45,2,0,1.7s,0,-3,1,4,0,3,1,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0,79000014,7656119805505474,15,1,1,22,15,2,7,1.50,99,45%,72.7%,1.43,31,1,89.9s,267,-4,1,5,1,5,0,0,4,3,0,1,0,1,0,0,0,0,0,0,0,0,3,0,1,2,3,6
1,79000014,7656119829217254,15,0,1,20,10,3,10,2.00,88.9,25%,95.5%,1.61,16,1,45.1s,19,0,0,0,0,0,0,0,5,2,1,0,1,0,0,0,2,0,0,0,0,2,2,0,0,2,2,10
2,79000014,7656119807120573,13,0,1,18,13,3,5,1.40,85,6%,72.7%,1.28,7,0,24.2s,145,1,3,2,1,1,2,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,3,5
3,79000014,7656119814535465,15,0,1,17,18,3,-1,0.90,88.5,35%,77.3%,1.16,10,1,32s,107,7,7,0,5,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13
4,79000014,7656119827865153,15,0,1,12,15,1,-3,0.80,60.4,50%,72.7%,0.91,0,0,0s,63,-2,1,3,0,2,1,1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
5,79000014,7656119798024609,14,0,2,16,16,3,0,1.00,89.5,44%,68.2%,1.11,2,0,2.1s,184,2,3,1,0,0,3,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,7
6,79000014,7656119808796018,14,0,2,13,17,2,-4,0.80,69.9,23%,72.7%,0.93,9,1,21.5s,101,-1,2,3,0,2,2,1,1,4,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,9
7,79000014,7656119830905777,14,0,2,10,20,6,-10,0.50,67.1,40%,68.2%,0.72,1,0,4.8s,132,-2,2,4,0,2,2,2,2,7,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,7
8,79000014,7656119803741959,15,0,2,10,21,1,-11,0.50,45.5,40%,59.1%,0.53,7,0,16.4s,115,1,3,2,2,1,1,1,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6
0,79000013,7656119796872452,9,0,1,9,9,0,0,1.00,89.9,56%,70%,1.17,4,0,13.9s,74,-1,1,2,0,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,3
1,79000013,7656119898726581,8,0,1,5,10,0,-5,0.50,54.3,40%,50%,0.50,0,0,0s,44,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2,79000013,7656119902221442,12,0,1,4,10,2,-6,0.40,59.8,75%,70%,0.60,6,1,14.4s,0,0,2,2,2,2,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
3,79000013,7656119827126413,9,0,1,4,10,4,-6,0.40,77.2,50%,40%,0.46,0,0,0s,194,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
4,79000013,7656119827276776,11,0,1,2,10,1,-8,0.20,26.3,0%,40%,0.09,0,0,0s,0,-2,0,2,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5,79000013,7656119808331299,10,0,2,15,4,5,11,3.80,166,47%,100%,2.47,0,0,0s,99,1,1,0,0,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,4,3
6,79000013,7656119813486891,13,0,2,15,6,0,9,2.50,112.8,47%,100%,2.14,1,0,0.3s,59,2,2,0,0,0,2,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5,2
7,79000013,7656119837924877,10,0,2,10,4,0,6,2.50,93.7,30%,90%,1.68,8,2,22.3s,32,-1,0,1,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4
8,79000013,7656119824825767,8,0,2,5,6,3,-1,0.80,73.1,0%,100%,1.18,5,1,12.2s,0,2,3,1,0,0,3,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
9,79000013,7656119822903624,10,0,2,4,5,1,-1,0.80,43.3,25%,60%,0.73,10,0,21.5s,86,-2,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
0,79000012,7656119813175479,9,0,k,16,8,2,8,2.00,105.4,44%,71.4%,1.63,14,0,36.9s,3,1,2,1,2,1,0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,3,4
1,79000012,7656119822903624,10,0,k,11,10,7,1,1.10,110.8,55%,71.4%,1.29,6,0,11.4s,234,0,2,2,0,2,2,0,1,4,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,3,2
2,79000012,7656119845014083,10,0,k,11,9,2,2,1.20,77.9,18%,71.4%,1.19,1,0,0.5s,109,1,2,1,1,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,5
3,79000012,7656119834455933,10,0,k,7,11,0,-4,0.60,58.8,57%,50%,0.63,3,1,8s,43,-1,0,1,0,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3
4,79000012,7656119912479428,10,0,k,6,11,0,-5,0.50,45.6,50%,42.9%,0.48,1,0,0.8s,14,-1,1,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
5,79000012,7656119809358472,10,0,2,14,10,1,4,1.40,95.4,43%,57.1%,1.28,0,0,0s,80,1,2,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3
6,79000012,7656119805958007,10,0,2,12,11,3,1,1.10,105.7,83%,78.6%,1.33,12,1,36.4s,197,-2,2,4,1,2,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3
7,79000012,7656119814322235,10,0,2,10,9,0,1,1.10,58.9,20%,78.6%,1.11,10,1,37s,82,2,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
8,79000012,7656119801679867,10,0,2,7,10,0,-3,0.70,51.3,29%,57.1%,0.70,9,1,18.8s,2,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
9,79000012,7656119814192105,8,0,2,6,11,4,-5,0.50,58.2,17%,78.6%,0.81,6,0,11.1s,0,-1,0,1,0,1,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4
0,79000011,7656119904938009,6,0,1,19,19,1,0,1.00,73,11%,50%,0.93,11,2,20s,0,-2,1,3,1,0,0,3,6,1,1,1,1,0,0,1,2,0,0,0,0,2,1,0,1,0,6,3
1,79000011,7656119811929881,9,-1,1,19,20,3,-1,1.00,86,32%,70.8%,1.11,9,0,17.8s,7,0,3,3,3,3,0,0,1,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3
2,79000011,7656119843949275,9,0,1,17,22,7,-5,0.80,101.9,59%,75%,1.10,9,0,22.6s,18,3,5,2,1,2,4,0,5,5,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,4,9
3,79000011,7656119909004404,7,0,1,12,17,4,-5,0.70,60.5,25%,58.3%,0.76,0,0,0s,20,0,2,2,2,1,0,1,5,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
4,79000011,7656119821349419,5,0,1,10,17,1,-7,0.60,44.5,20%,50%,0.56,7,0,4.8s,14,-3,0,3,0,2,0,1,3,4,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,8
5,79000011,7656119808563615,12,0,2,27,15,2,12,1.80,93.4,41%,87.5%,1.66,25,0,62.5s,67,4,6,2,3,0,3,2,8,1,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,4,13
6,79000011,7656119806883915,8,0,2,20,12,5,8,1.70,83.8,40%,87.5%,1.45,3,0,5s,149,-2,0,2,0,2,0,0,4,5,1,1,0,1,1,0,3,0,0,0,2,1,1,0,0,1,4,9
7,79000011,7656119900232569,,0,2,18,15,4,3,1.20,85.5,39%,75%,1.22,13,1,36.9s,0,-1,3,4,2,2,1,2,2,3,0,3,0,1,0,2,0,0,0,0,0,0,1,0,0,1,3,9
8,79000011,7656119897308724,9,0,2,16,17,6,-1,0.90,78,56%,66.7%,1.03,12,1,25.7s,0,1,4,3,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,2
9,79000011,7656119879894804,7,0,2,13,19,4,-6,0.70,67.8,46%,79.2%,0.93,14,0,20.8s,184,0,0,0,0,0,0,0,3,7,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3,7
0,79000010,7656119814588680,9,1,1,31,20,4,11,1.60,91.4,35%,83.3%,1.52,36,2,55.4s,62,-3,1,4,1,3,0,1,8,5,1,2,0,1,1,1,2,0,0,0,0,2,2,0,2,0,8,7
1,79000010,7656119834358271,9,1,1,30,25,9,5,1.20,115.9,63%,76.7%,1.45,27,0,73.5s,200,2,7,5,5,2,2,3,3,6,1,3,1,0,0,3,1,0,1,0,0,0,2,0,0,2,8,8
2,79000010,7656119833294026,9,0,1,23,18,3,5,1.30,74.3,30%,63.3%,1.12,34,1,74.7s,47,2,2,0,0,0,2,0,5,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,7,6
3,79000010,7656119911284262,9,0,1,19,25,5,-6,0.80,67,11%,66.7%,0.89,6,0,17.7s,71,1,3,2,1,2,2,0,3,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,9
4,79000010,7656119823536054,9,1,1,12,24,9,-12,0.50,60.3,33%,70%,0.72,1,0,0.5s,16,-2,2,4,0,1,2,3,4,6,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,4,4
5,79000010,7656119841977723,9,1,2,31,19,1,12,1.60,97.4,48%,76.7%,1.50,13,0,33.3s,79,0,1,1,0,1,1,0,2,2,1,0,1,0,0,0,1,0,0,0,1,0,2,0,0,2,7,11
6,79000010,7656119797723161,9,1,2,26,26,6,0,1.00,103.9,46%,70%,1.22,8,0,14.3s,202,1,4,3,1,1,3,2,2,4,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,2,5,10
7,79000010,7656119828214797,9,0,2,22,23,3,-1,1.00,74.6,18%,70%,1.05,15,0,32s,139,2,5,3,3,0,2,3,3,2,0,1,0,0,0,1,1,0,0,0,0,1,2,0,0,2,1,14
8,79000010,7656119905996912,9,0,2,19,23,3,-4,0.80,63.3,11%,53.3%,0.81,11,1,32.5s,27,-1,1,2,0,2,1,0,5,3,0,0,0,0,0,0,2,0,0,0,1,1,2,0,0,2,3,7
9,79000010,7656119817179497,9,1,2,14,25,3,-11,0.60,54.2,36%,56.7%,0.62,12,0,28.1s,2,-2,4,6,3,4,1,2,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,8
